ADA  |USAID Adapt Asia-Pacific                          
SCC  |Siam Commercial Bank Foundation (Jul'12-Jun'13)   
SDC  |Swiss Agency for Dev & Cooper'                    
SEA  |SEANAFE                                           
SFB  |SFB Project (USAID-funded)                        
SFM  |SFM Project (UDNP-funded)                         
SID  |Swedish International Development Agency          
SJF  |IIED: Social Justice in Forestry                  
SLP  |Manage the Process of Site-Level Planning Awarenes
SNE  |Evalua'nOfForestryGover'nNepal                    
SNG  |SNV/Netherlands Development Organisation/Forest Go
SNP  |SDC:ForestGovernce&CF-DevNepal                    
SNS  |SDC & Sida (Program Funding)                      
SNV  |SNV-Netherlands Development Organisation          
SRA  |Report on the implementation of the South East Asi
SSA  |SMALL-SCALE Agreement                             
SSF  |SDC/SIDA/Ford Indonesia                           
SUC  |SUCOMFOR Project (Scaling Up Community Forestry)  
SWI  |SDC&RECOFTC Agreement Concerning Strengthening ASF
TBB  |Thailand Burma Boarder Consortium(TBBC)           
TBC  |TBC - Strengthening Local Communitiesand Support O
TFC  |Tanzania Forest Conversation Group (TFCG) & Funded
TNC  |The Nature Conservancy                            
TRF  |The Thailand Research Fund                        
TRG  |Thailand Research Fund                            
TYT  |Toyota Foundation                                 
UNC  |UNCCD PRAIS                                       
UND  |United Nations Development Programme              
UNP  |UNEP: UNREDD Capacity Building Service Provider St
USA  |USAID                                             
USD  |USDA                                              
VER  |EUR/VERIFOR                                       
WRS  |Regional consultation on Forests and Climate Chan
WWF  |World Wide Fund for Nature                        
