	DONOR	DONOR_NAME	DONOR_GRP
	NNP	Case study of Khao-Nan National Park, Nakhon Si Th	PRJ
	NOG	Grassroots Capacity Building for REDD+ in Asia (NO	PRJ
	NOR	Norwegian Agency for Development Cooperation(NORAD	PRJ
	OTH	Others	PRJ
	PCD	CBFCM Project - TCP	PRJ
	PDR	FAO - Lao PDR	PRJ
	PES	Ford Foundation, Mexico Grant#	PRJ
	PRF	Program Funding	RTG
	PTT	Petroleum Authority of Thailand	PRJ
	RAF	RAFT Program (TNC) - MCP	PRJ
	RAK	Rak Thai Foundation	PRJ
	RCF	RECOFTC (unfunded)	RCF
	RDN	REDDNet Programme	PRJ
	RNE	Royal Norwegian Embassy (CF Program Support in Mya	PRJ
	RRA	RRA	PRJ
	RRB	RRI:-Rethinking Regulatory Barriers	PRJ
	RRC	Community Forestry Champions Networking in Asia (R	PRJ
	RRD	Dissemination of the Policy Brief on legal and reg	PRJ
	RRE	Exposure Visits to Lao Community Resource Persons	PRJ
	RRF	Regional Facilitation Support to RRI Activities in	PRJ
	RRG	Rights and Resources Initiative Planning Meeting	PRJ
	RRH	RRH	PRJ
	RRI	Regional Facilitation Support to RRI Activities in	PRJ
	RRL	RRI:-Lao PDR Forest Tenure Reform Learning Group	PRJ
	RRM	Influence the Revision of Land and Forest Policies	PRJ
	RRO	Community Forestry Champions Network: Tackling the	PRJ
	RRP	Project of Assessing Impact of Forest Enterprises	PRJ
	RRR	Forest Tenure Reform Learning Group in Laos PDR	PRJ
	RRS	Regional Facilitation Support to RRI Activities in	PRJ
	RRT	RRT- Thailand Country Program Partnership Implemen	PRJ
	RRZ	RRI : Invitting a Resource Person from Brazil in V	PRJ
	RTG	Royal Thai Government	RTG
	SCB	Siam Commercial Bank Foundation	PRJ
	SCC	Siam Commercial Bank Foundation (Jul'12-Jun'13)	PRJ
	SDC	Swiss Agency for Dev & Cooper'	PRJ
	SEA	SEANAFE	PRJ
	SFB	SFB Project (USAID-funded)	PRJ
	SFM	SFM Project (UDNP-funded)	PRJ
	SID	Swedish International Development Agency	PRJ
	SJF	IIED: Social Justice in Forestry	PRJ
	SLP	Manage the Process of Site-Level Planning Awarenes	PRJ
	SNE	Evalua'nOfForestryGover'nNepal	PRJ
	SNG	SNV/Netherlands Development Organisation/Forest Go	PRJ
	SNP	SDC:ForestGovernce&CF-DevNepal	PRJ
	SNS	SDC & Sida (Program Funding)	PRJ
	SNV	SNV-Netherlands Development Organisation	PRJ
	SRA	Report on the implementation of the South East Asi	PRJ
	SSA	SMALL-SCALE Agreement	PRJ
	SSF	SDC/SIDA/Ford Indonesia	PRJ
	SUC	SUCOMFOR Project (Scaling Up Community Forestry)	PRJ
	SWI	SDC&RECOFTC Agreement Concerning Strengthening ASF	PRJ
	TBB	Thailand Burma Boarder Consortium(TBBC)	PRJ
	TBC	TBC - Strengthening Local Communitiesand Support O	PRJ
	TFC	Tanzania Forest Conversation Group (TFCG) & Funded	PRJ
	TNC	The Nature Conservancy	PRJ
	TRF	The Thailand Research Fund	PRJ
	TRG	Thailand Research Fund	PRJ
	TYT	Toyota Foundation	PRJ
	UNC	UNCCD PRAIS	PRJ
	UND	United Nations Development Programme	PRJ
	UNP	UNEP: UNREDD Capacity Building Service Provider St	PRJ
	USA	USAID	PRJ
	USD	USDA	PRJ
	VER	EUR/VERIFOR	PRJ
	WRS	Regional consultation on "Forests and Climate Chan	PRJ
	WWF	World Wide Fund for Nature	PRJ
