02.07.2015                     Dynamic List Display                            1


	KTOPL	KSTAR	KTEXT	LTEXT
	CABE	604072	Aufw. Preisd. Eig.ML	Aufw.Preisdifferenzen a.Abr. Mat.-Ledger
	CABE	604073	Eink. Prdiff.Handel.	Einkauf Preisdifferenz Handelswaren
	CABE	604074	rück.Eink.PrDiff.HW	Rück. Einkauf Preisdiff. Hndelswaren
	CABE	605000	Einkauf unbew. Eig.	Einkauf unbew. Eigentum für Weiterverk.
	CABE	608000	Ab./Zu./Boni Ford	Abschläge, Zuschläge und Boni Ford.
	CABE	609000	Abg./Zug. Rohstoffe	Abgang/Zugang Rohstoffe
	CABE	609010	Abg./Zug. Verpack.	Abgang/Zugang Verpackungsmaterial
	CABE	609020	Abg./Zug. Verbr.Ver.	Abgang/Zugang Verbrauch Verpackungsmat.
	CABE	609030	Abg./Zug.Aussch.Ver.	Abgang/Zugang Ausschuss Verpackungsmat.
	CABE	609031	Verbrauch QKo. Auss.	Verbrauch Qualitätskontr.Aussch.Verpack.
	CABE	609040	Abg./Zug.Diff. Verp.	Abgang/Zugang Differenz Verpackungsmat.
	CABE	609050	Abg./Zug. Verk. HW	Abgang/Zugang Verkauf Handelswaren
	CABE	609060	Abg./Zug. Verbr.Roh.	Abgang/Zugang Verbrauch Rohstoffe
	CABE	609070	Abg./Zug.Aussch.Roh.	Abgang/Zugang Ausschuss Rohstoffe
	CABE	609071	Ver. QK Ext. Mat.	Verw. QualKontr. Ausschuss Rohstoffe
	CABE	609080	Abg./Zug. Diff. Roh.	Abgang/Zugang Differenz Rohstoffe
	CABE	609090	Abg./Zug. Rohstoffe	Abgang/Zugang Verkauf Handelswaren
	CABE	609100	Abg./Zug. Betriebss.	Abgang/Zugang Betriebsstoffe
	CABE	609110	Abg./Zug.Ersatzteile	Abgang/Zugang Ersatzteile
	CABE	609120	Abg./Zug. Verbr. ET	Abgang/Zugang Verbrauch Ersatzteile
	CABE	609130	Abg./Zug. Aussch. ET	Abgang/Zugang Ausschuss Ersatzteile
	CABE	609131	Ext. Material in QK	Verbrauch ext. Material Qualitätskontr.
	CABE	609140	Abg./Zug. Diff. ET	Abgang/Zugang Differenz Ersatzteile
	CABE	609150	Abg./Zug. Verkauf ET	Abgang/Zugang Verkauf Ersatzteile
	CABE	609160	Abg./Zug. Verbrauch.	Abgang/Zugang Verbrauch Verbrauchsmat.
	CABE	609170	Abg./Zug.Aussch.BSt.	Abgang/Zugang Ausschuss Betriebsstoffe
	CABE	609171	QK Verbr. Betriebs.	Qualitätskontr. Verbrauch Betriebsstoffe
	CABE	609180	Abg./Zug. Diff.Betr.	Abgang/Zugang Differenz Betriebsstoffe
	CABE	609190	Abg./Zug. Verk.Betr.	Abgang/Zugang Verkauf Betriebsstoffe
	CABE	609400	Abg./Zug. Wiederver.	Abgang/Zugang Waren für Wiederverkauf
	CABE	609460	Abg./Zug. Verbr. HW	Abgang/Zugang Verbrauch Handelswaren
	CABE	609470	Abg./Zug. Aussch. HW	Abgang/Zugang Ausschuss Handelswaren
	CABE	609471	QK Verbr. HWaren	Qualitätskontr. Ausschuss Handelswaren
	CABE	609480	Abg./Zug. Diff. HW	Abgang/Zugang Differenz Handleswaren
	CABE	609490	Abg./Zug. Verbr. HW	Abgang/Zugang Verkauf Handelswaren
	CABE	609500	Abg./Zug. unbew.Eig.	Abgang/Zugang Unbewegliches Eigentum
	CABE	609999	WE o.Ref.z. Bestell.	Wareneingang ohne Ref. zu Bestellung
	CABE	610000	Dienstl. u. a. Waren	Dienstleistungen und andere Waren
	CABE	610610	Ungepl.Bezugskosten	Ungeplante Bezugskosten
	CABE	612000	Vertr. Provision	Vertiebsprovision (Vermittlung)
	CABE	613310	Reisekst./Unterkunft	Reisekosten Unterkunft (Belege/Pauschale
	CABE	613311	Reisekst.Verpflegung	Reisekosten Verpflegung (Belege/Pauschal
	CABE	613312	Reisekst.Fahrt/Flug	Reisekosten Fahrt-u.Flugkosten (Belege/P
	CABE	613313	Reisekosten sonstige	Reisekosten sonstige Kosten
	CABE	613314	Reisekosten Bewirt.	Reisekosten Bewirtung
	CABE	613315	Reisekosten Vorschuß	Reisekosten Vorschuß
	CABE	613316	Reisekst.Kassenvors.	Reisekosten Kassenvorschuss
	CABE	619400	Umlagef.Betriebskst.	RE Umlagefähige Betriebskosten
	CABE	619499	Entlastg.umlagef.BK	IS-RE Entlastung umlagefähige Betriebsko
	CABE	619500	Abr.BK Mietverträge	IS-RE Abrechnung Betriebkosten Mietvertr
	CABE	619510	Abr.BK MV o.Weiterv.	IS-RE Abrechnung BK Mietverträge ohne We
	CABE	619520	Abr.BK Mieteinheiten	IS-RE Abrechnung Betriebkosten Mieteinhe
	CABE	619580	Abr. BK Eigennutzung	IS-RE Abrechnung Betriebskosten Eigennut
	CABE	619700	Kalk.Aufw.Miete Leer	IS-RE Kalkulatorischer Aufwand Miete Lee
	CABE	619800	Aufw.Verwalt.Mietobj	IS-RE Aufwand Verwaltung von Mietobjekte
	CABE	619850	Entl.Aufw.Immobewirt	IS-RE Entlastung Aufwand Immobilienbewir
	CABE	619860	Entl.Rest-BK Vorv-AE	IS-RE Entlastung Rest-Betriebskosten Vor
	CABE	619900	Aufw.n.abzugsf.VSt	IS-RE Aufwand nicht abzugsfähige Vorsteu
	CABE	619910	Aufw.n.abzugsf.VSt	IS-RE Aufwand nicht abzugsfähige Vorsteu
	CABE	619950	Abr.n.abzug. VSt BKA	IS-RE Abrechnung nicht abzugsf. Vorsteue
	CABE	619999	Entlastg.n.a.VSt BKA	IS-RE Entlastung nicht abzugsf. Vorsteue
	CABE	620000	Vergütung:Direktoren	Vergütungs- und Sozialkosten: Direktoren
	CABE	620100	Vergütung: Manager	Vergütungs- und Sozialkosten: Manager
	CABE	620200	Vergütung: Angest.	Vergütungs- und Sozialkost.: Angestellte
	CABE	620300	Vergütung: Arbeiter	Vergütungs- und Sozialkosten: Arbeiter
	CABE	620400	Vergütung: Sonstige	Vergütungs- und Sozialkosten: Sonstige
	CABE	621000	Arbeitgeberant. Soz.	Arbeitgeberanteil: Sozialbeiträge
	CABE	622000	Arbeitgeb. Zusatzv.	Arbeitgeberanteil Zusatzversicherung
	CABE	623000	Sonst. Personalaufw.	Sonstige Personalaufwendungen
	CABE	624000	Pensionen: Direkt.	Pensionen: Direktoren
	CABE	624100	Pensionen: Personal	Pensionen: Personal
	CABE	625000	Urlaubsgeld	Urlaubsgeld
	CABE	630000	Abschr. Gründ. u. E.	Abschreibung Gründung und Erweiterung
	CABE	630100	Abschr. imm .Anlagen	Abschreibung immaterielle Anlagen
	CABE	630200	Abschr. Sachanlagen	Abschreibung Sachanlagen
	CABE	630800	Abg. Betr.: Imm.Anl.	Abgeschr. Beträge: Immaterielle Anlagen
	CABE	630900	Abg.Betr.: Sachanl.	Abgeschr. Beträge: Sachanlagen
	CABE	631000	Abgeschr. Bestände +	Abgeschr. Beträge Bestand: Zugang
	CABE	631100	Abgeschr. Bestände -	Abgeschr. Beträge Bestand: Abgang
	CABE	632000	Abg. Kontrakte +	Abgeschr. Beträge laufende Kontrakte:
	CABE	632100	Abg. Kontrakte -	Abgeschr. Beträge laufende Kontrakte:
	CABE	633000	Abschr. Deb. > 1J +	Abgeschr. Beträge Debitoren > 1J:
	CABE	633100	Abschr. Deb. > 1y -	Abgeschr. Beträge Debitoren > 1J:
	CABE	634000	Abschr. Deb. < 1J +	Abgeschr. Beträge Debitoren < 1J:
	CABE	634100	Abschr. Deb. < 1J -	Abgeschr. Beträge Debitoren < 1J:
	CABE	635000	Pensionsrück.:Zug.	Rückst. f. Pensionen, ähnliche Verpfl.
	CABE	635100	Pensionsrück.: Verw.	Rückst. f. Pensionen: Verwendung und
	CABE	636000	Rückst. Inst.: Zug.	Rückst. Reparaturen/Instandhaltung
	CABE	636100	Rückst. Inst.: Verw.	Rückst. Reparaturen: Verwendung und
	CABE	637000	Zunahme Rückstellgen	Rückstellungen andere Verbindlichkeiten
	CABE	637100	rückst. Aufw.: Verw.	Rückst. Aufwendungen: Verwendung und
	CABE	640000	Steuern o. EK-Steuer	Andere Steuern als Einkommenssteuer
	CABE	641000	Verlust Abg. Sachan.	Verluste aus Abgang Sachanlagen
	CABE	642000	Verl. Real. HanDeb.	Verluste aus Realis. Handelsdebitoren
	CABE	643000	Sonst. betr. Aufw.	Sonstige betriebliche Aufwendungen
	CABE	648010	Konsign. MatVerbr.	Aufwendungen Konsignation Materialverbr.
	CABE	649000	Akt. Kosten Reorg.	Aktivierte Kosten Reorganisation
	CABE	649010	Aufwend. Umlagerung	Aufwendungen Umlagerung
	CABE	650000	Zinsen, Provisionen	Zinsen, Provisionen und Gebühren
	CABE	650050	Zinsaufw.Mietkaution	IS-RE Zinsaufwand - Mietkaution
	CABE	650100	Abschr. Darlehen	Abschreibung Darlehensaufwendungen
	CABE	650200	Sonstige Gebühren	Sonstige Gebühren
	CABE	650300	Aktivierte Zinsen	Aktivierte Zinsen
	CABE	651000	Abschr. UmlVerm. +	Abgeschr. Beträge Umlaufvermögen: Zug.
	CABE	651100	Abschr. UmlVerm. -	Abgeschr. Beträge Umlaufvermögen: Abg.
	CABE	651200	And.Abschr.FinGesch.	TR-TM Andere Abschreibungen auf Finanzg.
	CABE	651300	WB sonst. Ausleih.	TR-LO Aufwand WB sonstige Ausleihungen
	CABE	652000	Verl. Real. UmlVerm.	Verluste aus Realisierung Umlaufvermögen
	CABE	652100	Verl.Abg.FinAnlagen	TR-TM Verluste aus Abgängen Finanzanlag.
	CABE	652200	Verl.Abg.Wertpap.UV	TR-TM Verluste aus Abgängen Wertpapieren
	CABE	652300	Verl.Ausgl.FinGesch.	TR-TM Verluste aus Ausgleichszahl.Finanz
	CABE	653000	Geb. Disk. Ford.	Gebühren Diskontierung Forderungsbeträge
	CABE	654000	Real. Währungsverl.	Realisierte Währungsverluste
	CABE	654100	Aufw.Kursdiff.Vorst.	Aufwand Kursdifferenzen a. Vorstufen
	CABE	655000	Nicht real. WährVer.	Nicht realisierte Währungsverluste
	CABE	656000	Sonst. Finanzgebühr.	Sonstige Finanzgebühren
	CABE	656010	Bankgebühren Wechsel	Bankgebühren Wechsel
	CABE	656020	Steuer Wechsel	Steuer Wechsel
	CABE	657010	Skontoaufwand	Skontoaufwand
	CABE	657060	Korr.GB Kundenskonti	Nachbelastung Geschäftsber. Kundenskonto
	CABE	658000	Sonst.Aufw.FinGesch.	TR-TM Sonstiger Aufwand aus Finanzgesch.
	CABE	659010	Aufw. Unter/Überzah.	Aufwendungen aus Unter/Überbezahlung
	CABE	659020	Skonto-Verlust	Skonto-Verlust (Netto-Verfahren)
	CABE	659060	Korr.GB unb.Kundenab	Nachbelastung GB unberechtigte Kundenabz
	CABE	660000	Ausserg.Abschr. G+E	Ausserg. Abschr. Gründung u. Erweiterung
	CABE	660100	Ausserg. Abschr. IVW	Aussergew. Abschr.: Imm. Vermögenswerte
	CABE	660200	Ausserg. Abschr. SA	Aussergew. Abschr.: Sachanlagen
	CABE	661000	Abg. Betr. Finanzanl	Abgeschr. Beträge Finanzanlagen
	CABE	662000	rücks. auss. Verb.	rückstellungen ausserordentl. Verbindl.
	CABE	663000	Verl. Abg. Anlagen	Verluste aus Abgang Anlagevermögen
	CABE	664000	And. auss. Aufwend.	Sonstige ausserordentliche Aufwendungen
	CABE	668010	MatWirt. kl. Diff.	Materialwirtschaft kleine Differenzen
	CABE	668020	MatWirt. Kursrund.	Materialwirtschaft Währungskursrundungen
	CABE	669000	Ausserg.Aufw. Reorg.	Ausserg. Aufwend. als Reorg. aktiviert
	CABE	670000	Bez. Einkommensst.	Einkommenssteuer bezahlt u. Quellenst.
	CABE	670100	Überbez. EinkSteuer	Überbezahl. Einkommenssteuer/Quellenst.
	CABE	670200	Gesch. StVerbindl.	Geschätzte Steuerverbindlichkeiten
	CABE	671000	Zusätzl. Aufw. EKSt	Zusätzliche Aufwend. Einkommenssteuer
	CABE	671100	Zus.Aufw.gesch. EKSt	Zusätzl. Aufw. für gesch. Einkommensst.
	CABE	671200	Zusätzl. Aufw. EKSt.	Zusätzliche Aufwend. Einkommenssteuer
	CABE	672000	Ausl. EKSt lfd. Per.	Ausländ. Einkommenssteuer - lfd. Periode
	CABE	673000	Ausl. EKSt vor. Per.	Ausländ. Einkommenssteuer - vor. Periode
	CABE	680000	Zuführ. aufgesch. St	Zuführung zu aufgeschobenen Steuern
	CABE	689000	Zuf.zu aufg. Steuern	Zuführung zu aufgeschobenen Steuern
	CABE	690000	Vorgetr. Verluste	Vorgetragene Verluste
	CABE	691000	Einstell. Kap./Ant.	Einstellung in Kapital und Anteile
	CABE	692000	Einst.gesetzl.Rückl.	Einstellung in gesetzliche Rücklagen
	CABE	692100	Einst.sonst.Rücklage	Einstellung in die sonstigen Rücklagen
	CABE	693000	Vorzutrag. Gewinn	Vorzutragender Gewinn
	CABE	694000	Dividenden	Dividenden
	CABE	695000	Ansprüche Direktoren	Ansprüche Direktoren
	CABE	696000	Sonst. Verrechnungen	Sonstige Verrechnungen
	CABE	747200	Ertr. Miete Fremdnu.	IS-RE Ertrag Miete Fremdnutzung
	CABE	747210	Sonst.Ertr.Vermietg.	IS-RE Sonstige Erträge aus Vermietung (F
	CABE	747220	Ertr. Miete Eigennu.	IS-RE Ertrag Miete Eigennutzung
	CABE	747230	Ertr. Miete Eigennu.	IS-RE Ertrag Miete Eigennutzung
	CABE	748200	Ertr. BK-Pauschale	IS-RE Ertrag aus Betriebskostenpauschale
	CABE	748500	Ertr.BK-Abr.Fremdnu.	IS-RE Ertrag Betriebskostenabrechnung Fr
	CABE	749099	Verr.VZ Betriebskst.	IS-RE Verrechnung Vorauszahlung Betriebs
	CABE	749100	VZF-Fortschr. BK	IS-RE VZF-Fortschreibung Betriebskosten
	CABE	749110	VZF-Fortschr.:BetrKs	IS-RE VZF-Fortschreibung: Betriebskosten
	CABE	749120	VZ-Fortschr. Umsatzm	IS-RE VZF-Fortschreibung - absbas.Miete
	CABE	749130	Mietkaution-Fortschr	IS-RE Mietkaution-Fortschreibung
	CABE	749580	Ertr. BKA Eigennutz.	IS-RE Ertrag Betriebskostenabrechnung Ei
	CABE	749680	Nachschüss. Mieten	IS-RE Nachschüssige (antizipative) Miete
	CABE	749690	Vorschüss. Mieten	IS-RE Vorschüssige (transitorische) Miet
	CABE	749700	Kalk.Ertr.Miete Leer	IS-RE Kalkulatorischer Ertrag Miete Leer
	CABE	749800	Ertr.Verwalt.Mietobj	IS-RE Ertrag aus Verwaltung von Mietobje
	CABE	749850	Entl.Ertr.Immobewirt	IS-RE Entlastung Ertrag Immobilienbewirt
	CABE	749900	Ertr.n.abzug.VST BKA	IS-RE Ertrag aus nicht abzugsf. Vorsteue
	CABE	749910	Ertr. abzugsf. VSt	IS-RE Ertrag aus abzugsfähiger Vorsteuer
	CABE	749950	Erlösschm. Vermietg.	IS-RE Erlösschmälerung Vermietung (Fremd
	CABE	800100	Interne Abr. Mat.ko.	Interne Abrechnung Materialkosten
	CABE	800200	Interne Abr.Pers.ko.	Interne Abrechnung Pesonalkosten
	CABE	800300	Interne Abr.sonstige	Interne Abrechnung sonstige Kosten
	CABE	800400	Interne Abr. Ergebn.	Interne Abrechnung Ergebnisobjekt
	CABE	810000	WIP/Ergebnisermittl.	WIP/Ergebnisermittlung
	CABE	810100	Ergebniserm.: Erlöse	Ergebnisermittlung: Erlöse
	CABE	810200	WIP/Erg.: Best.prim.	WIP/Ergebnisermittl.: Best.prim.Kosten
	CABE	810300	WIP/Erg.: Rück.prim.	WIP/Ergebnisermittl.: Rückst.prim.Kosten
	CABE	810400	WIP/Erg.: Kost.prim.	WIP/Ergebnisermittl.: Kost.d.Ums.primär
	CABE	811200	WIP/Erg.: Best.seku.	WIP/Ergebnisermittl.: Best.seku.Kosten
	CABE	811300	WIP/Erg.: Rück.seku.	WIP/Ergebnisermittl.: Rückst.seku.Kosten
	CABE	811400	WIP/Erg.: Kost.prim.	WIP/Ergebnisermittl.: Kost.d.Ums.primär
	CABE	820100	GK-Zuschlag Material	Gemeinkostenzuschlag Material
	CABE	820200	GK-Zuschlag Fertig.	Gemeinkostenzuschlag Fertigung
	CABE	820300	GK-Zuschlag Verwalt.	Gemeinkostenzuschlag Verwaltung
	CABE	820400	GK-Zuschlag Vertrieb	Gemeinkostenzuschlag Vertrieb
	CABE	830100	Umlage Kantine	Umlage Kantine
	CABE	830200	Umlage Wasser	Umlage Wasser
	CABE	830900	Umlage Kostl an Erg.	Umlage Kostenstelle an Ergebnisobjekt
	CABE	840100	Int. LV Fertig.std.	Interne Leistungsverrg. Fertig.stunden
	CABE	840150	Int. LV Rüsten	Interne Leistungsverrg. Rüsten
	CABE	840500	Int. LV Kantine	Interne Leistungsverrg. Kantine
	CABE	840550	Int. LV Wasser	Interne Leistungsverrg. Wasser
	CABE	860000	Gemeinkosten
	CACH	37000	E.herst. mob. S.anl.	Eigenherstellung von mobilen Sachanlagen
	CACH	37010	E.herst. imm. S.anl.	Eigenherstellung von immobilen Sachanlag
	CACH	37020	E.rep. mob. S.anl.	Eigenreparaturen an mobilen Sachanlagen
	CACH	37030	E.rep. immob. S.anl.	Eigenreparaturen an immobilen Sachanlage
	CACH	37100	E.verbr. s.h. Prod.	Eigenverbrauch an selbsthergestellten Pr
	CACH	37200	E.verbr. s.h. Hand.	Eigenverbrauch an Handelswaren
	CACH	37400	E.verbr. s.h. DL	Eigenverbrauch Dienstleistung
	CACH	38031	BV Verk. (K.)	BV Verkauf (mit Kostenart)
	CACH	40000	Verbr. Rohstoff	Verbrauch von Rohstoffen
	CACH	40030	Verbr. Werkstoff	Verbrauch von Werkstoffen
	CACH	40040	Verbr. Verbr.mat.	Verbrauch von Hilfs- und Verbrauchsmater
	CACH	40050	Verbr. Verp.mat.	Verbrauch von Verpackungsmaterial
	CACH	40060	Fremdarbeiten	Fremdarbeiten
	CACH	42000	Handelswarenaufw.	Handelswarenaufwand
	CACH	42050	Verbr. Verp.mat.	Verbrauch von Verpackungsmaterial
	CACH	44000	Aufw. Drittleist.	Aufwand für Drittleistungen
	CACH	45000	Elektrizität	Elektrizität
	CACH	45100	Gas	Gas
	CACH	45200	Oel/Holz/Brennstoffe	Oel, Holz, Sonstige Brennstoffe
	CACH	45300	Betr.stoffe	Betriebsstoffe
	CACH	45400	Wasser	Wasser
	CACH	46000	Übrig. Mat.-Aufw.	Uebriger Materialaufwand
	CACH	46200	Übrig. Handelsw.aufw	Uebriger Handelswarenaufwand
	CACH	46400	Übrig. Aufw. Drittl.	Uebriger Aufwand für Drittleistungen
	CACH	46500	Aufw. Verpackung	Aufwand für Verpackung
	CACH	47000	Eingangsfrachten	Eingangsfrachten
	CACH	47010	Einfuhrzölle	Einfuhrzölle
	CACH	47020	Eingangsspedition	Eingangsspedition
	CACH	47030	Ungepl. Bez.nebenk.	Ungeplante Bezugsnebenkosten
	CACH	48000	BV angef. Arb. Prod.	BV angefangene Arbeiten Produktion
	CACH	48010	BV fert. Arb. Prod.	BV fertige Arbeiten Produktion
	CACH	48020	Fabrikleistung Fert.	Fabrikleistung Fertigungsaufträge
	CACH	48800	Material-/Warenverl.	Material- und Warenverluste
	CACH	48810	Verschrottung	Verschrottung
	CACH	49000	Skonti	Skonti
	CACH	49010	Rabatte/Preisnachl.	Rabatte und Preisnachlässe
	CACH	49020	Umsatzrückvergüt.	Umsatzrückvergütungen
	CACH	49030	Einkaufsprovis.	Einkaufsprovisionen
	CACH	49060	Kursdifferenzen	Kursdifferenzen
	CACH	50000	Löhne	Löhne
	CACH	50010	Zulagen	Zulagen
	CACH	50020	Erfolgsbeteiligungen	Erfolgsbeteiligungen
	CACH	50030	Provis.	Provisionen
	CACH	50040	Honorare VR	Honorare Verwaltungsrat
	CACH	50050	Leist. Sozialvers.	Leistungen von Sozialversicherungen
	CACH	50060	Pers.ausleihung	Personalausleihung
	CACH	50070	Soz.vers.aufw.	Sozialversicherungsaufwand
	CACH	50080	Übrig. Pers.aufw.	Uebriger Personalaufwand
	CACH	50090	Arb.leist. Dritter	Arbeitsleistungen Dritter
	CACH	57000	AHV/IV/EO	AHV, IV, EO
	CACH	57010	ALV	ALV
	CACH	57100	FAK	FAK
	CACH	57200	Berufliche Vors.	Berufliche Vorsorge
	CACH	57300	Unfallvers.	Unfallversicherung
	CACH	57400	Krankentaggeldvers.	Krankentaggeldversicherung
	CACH	57900	Quellensteuer	Quellensteuer
	CACH	58000	Pers.beschaffung	Personalbeschaffung
	CACH	58100	Aus-/Weiterbildung	Aus- und Weiterbildung
	CACH	58200	Spesen effektiv	Spesenentschädigungen effektiv
	CACH	58300	Spesen pauschal	Spesenentschädigungen pauschal
	CACH	58400	Pers.kantine	Personalkantine
	CACH	58800	Sonst. Pers.aufw.	Sonstiger Personalaufwand
	CACH	59000	Temp. Arbeitnehmer	Temporäre Arbeitnehmer
	CACH	59010	Unterakkordanten	Unterakkordanten
	CACH	60000	Miete Geschäftslokal	Mietzins Geschäftslokalitäten
	CACH	60300	NK Fabriklokalitäten	Nebenkosten Fabriklokalitäten
	CACH	60400	Reinig. Fabriklok.	Reinigung Fabriklokalitäten
	CACH	60500	Unt. Fabriklok.	Unterhalt Fabriklokalitäten
	CACH	60600	Leasing Immobilien	Leasing Immobilien
	CACH	61000	URE Produktionsanl.	URE Produktionsanlagen
	CACH	61100	URE Verkaufseinricht	URE Verkaufseinrichtungen
	CACH	61200	URE Lagereinrichtung	URE Lagereinrichtungen
	CACH	61300	URE Büroeinrichtung	URE Büroeinrichtungen
	CACH	61400	URE Personaleinricht	URE Personaleinrichtungen
	CACH	61600	Leas. mob. Sachanl.	Leasing mobile Sachanlagen
	CACH	62000	Reparaturen	Reparaturen
	CACH	62010	Servicearbeiten	Servicearbeiten
	CACH	62020	Reinig.	Reinigung
	CACH	62100	Benzin	Benzin
	CACH	62110	Diesel	Diesel
	CACH	62120	Oel	Oel
	CACH	62200	Haftpflichtvers.	Haftpflichtversicherung
	CACH	62210	Kaskovers.	Kaskoversicherung
	CACH	62220	Rechtsschutzvers.	Rechtsschutzversicherung
	CACH	62300	Verk.abg. Pers.wagen	Verkehrsabgaben Personenwagen
	CACH	62310	Verk.abg. Lief.wagen	Verkehrsabgaben Lieferwagen
	CACH	62320	Schwerverk.abg.	Schwerverkehrsabgaben
	CACH	62600	Fahrzeugleasing	Fahrzeugleasing
	CACH	62640	Fahrzeugmieten	Fahrzeugmieten
	CACH	62800	Frachten	Frachten
	CACH	62810	Spediteur	Spediteur
	CACH	62820	Cargo Domizil	Cargo Domizil
	CACH	63000	Elementarvers.	Elementarversicherung
	CACH	63010	Glasbruchvers.	Glasbruchversicherung
	CACH	63020	Einbr.diebst.vers.	Einbruchdiebstahlversicherung
	CACH	63100	Betr.haftpfl.vers.	Betriebshaftpflichtversicherung
	CACH	63110	Garantievers.	Garantieversicherung
	CACH	63120	Rechtsschutzvers.	Rechtsschutzversicherung
	CACH	63200	Betr.unterbr.vers.	Betriebsunterbrechungsversicherungen
	CACH	63300	Kreditvers.prämien	Kreditversicherungsprämien
	CACH	63600	Abgaben	Abgaben
	CACH	63610	Gebühren	Gebühren
	CACH	63700	Bewilligungen	Bewilligungen
	CACH	63710	Patente	Patente
	CACH	64000	Kraftstrom	Kraftstrom
	CACH	64010	Lichtstrom	Lichtstrom
	CACH	64100	Gas	Gas
	CACH	64200	Brennstoffe, Heizmat	Brennstoffe, Heizmaterial
	CACH	64300	Wasserbezug	Wasserbezug
	CACH	64600	Kehrichtabfuhr	Kehrichtabfuhr
	CACH	64610	Sondermüllabfuhr	Sondermüllabfuhr
	CACH	64620	Abwasser	Abwasser
	CACH	65000	Büromaterial	Büromaterial
	CACH	65010	Drucksachen	Drucksachen
	CACH	65020	Fotokopien	Fotokopien
	CACH	65030	Fachliteratur	Fachliteratur
	CACH	65100	Telefon	Telefon
	CACH	65110	Telefax	Telefax
	CACH	65120	Internet	Internet
	CACH	65130	Porti	Porti
	CACH	65200	Beiträge	Beiträge
	CACH	65210	Spenden/Vergabungen	Spenden, Vergabungen
	CACH	65220	Trinkgelder	Trinkgelder
	CACH	65310	Unternehmensberatung	Unternehmensberatung
	CACH	65320	Rechtsberatung	Rechtsberatung
	CACH	65400	Aufw. Verw.rat	Aufwand Verwaltungsrat
	CACH	65410	Aufw. GV	Aufwand Generalversammlung
	CACH	65420	Aufw. Revision	Aufwand Revisionsstelle
	CACH	65600	Leas. Hardware	Leasing Hardware
	CACH	65610	Leas. Software	Leasing Software
	CACH	65620	Miete Hardware	Miete Hardware
	CACH	65700	Liz.aufw./Update	Lizenzaufwendungen/Update
	CACH	65710	Wart./Hotline HW	Wartung/Hotline Hardware
	CACH	65720	Wart./Hotline SW	Wartung/Hotline Software
	CACH	65730	Disk./CD/Tape	Disketten, CD, Tape, Verbrauch
	CACH	65740	Kleininvestitionen	Kleininvestitionen
	CACH	65750	Standleitungsgebüh.	Standleitungsgebühren
