Donor Line

View:   ZDONOR_LINE
Client: 400

                                                                      13.03.2015
---------------------------------------------------------------
|Donor Line|Name                                              |
|0074      |B36/NOG/572- Monitoring and evaluation -OP2       |
|0075      |B36/NOG/573- Training and awareness program for gr|
|0076      |B36/NOG/574- Training and awareness program for wo|
|0077      |B36/NOG/575- REDD+ and climate change training pro|
|0078      |B36/NOG/576- Monitoring and evaluation - OP3      |
|0079      |B36/NOG/577- Documentation of aspirations and conc|
|0080      |B36/NOG/578- National refresher cum reflection wor|
|0081      |B36/NOG/579- Establishing communication channels  |
|0082      |B36/NOG/580- Dissemination of project experiences |
|0083      |B36/NOG/581- Regional reflection workshop         |
|0084      |B36/NOG/582- Mid term and final review of the proj|
|0085      |B36/NOG/583- Administrative cost (7%)             |
|0086      |B42/FAD/00K- Coordinate and organize regional stud|
|0087      |B42/FAD/00L- Conduct literature review of forest r|
|0088      |B42/FAD/00M- Carry out eight country case studies |
|0089      |B42/FAD/00N- Organize a regional workshop in Rotor|
|0090      |B42/FAD/00O- Prepare a concept note for regional p|
|0091      |B42/FAD/00P- Secretariat support, micellaneous and|
|0092      |B43/EEP/00T/E01- Salaries of RECOFTC technical cor|
|0093      |B43/EEP/00T/E02- Consultancy fee for resident coor|
|0094      |B43/EEP/00T/E03- Salaries of METLA  technical head|
|0095      |B43/EEP/00T/E04- Stipend contribution for PhD stud|
|0096      |B43/EEP/00T/E05- Staff travel/subsistence for RECO|
|0097      |B43/EEP/00T/E06- Staff travel/subsistence for loca|
|0098      |B43/EEP/00T/E07- International travel Finland - La|
|0099      |B43/EEP/00T/E08- Regional flights Bangkok - Chiang|
|0100      |B43/EEP/00T/E09- Regional flights other destinatio|
|0101      |B43/EEP/00T/E10- Office supplies & small field equ|
|0102      |B43/EEP/00T/E11- 4WD vehicle rental Bokeo         |
|0103      |B43/EEP/00T/E12- Taxi Houay Xai - Chiang Rai airpo|
|0104      |B43/EEP/00T/E13- Project review & evaluation      |
|0105      |B43/EEP/00T/E14- Financial audit                  |
|0106      |B43/EEP/00T/E15- Administration cost RECOFTC      |
|0107      |B43/EEP/00U/E16- Consultancy fees focusing on GIS |
|0108      |B43/EEP/00U/E17- Acquisition of satellite images B|
|0109      |B43/EEP/00U/E18- Consultancy fees focusing on soci|
|0110      |B43/EEP/00U/E19- Workshop costs                   |
|0111      |B43/EEP/00U/E20- Travel/DSA costs for participants|
|0112      |B43/EEP/00U/E21- Materials                        |
|0113      |B43/EEP/00V/E22- Consultancy fees (regional) for r|
|0114      |B43/EEP/00V/E23- Consultancy fees (local) for cond|
|0115      |B43/EEP/00W/E24- Lease of a Wood Staal chipper cur|
|0116      |B43/EEP/00W/E25- Installation of Wood Staal chippe|
|0117      |B43/EEP/00W/E26- Purchase of a Jonsered Iron horse|
|0118      |B43/EEP/00W/E27- Purchaseof a FARMI tractor PTO po|
|0119      |B43/EEP/00W/E28- Purchase of one wood chipper for |
|0120      |B43/EEP/00W/E29- Purchase of 2 self-propelled winc|
|0121      |B43/EEP/00W/E30- Lease of local tractor with trail|
|0122      |B43/EEP/00W/E31- Lease fees for cross border truck|
|0123      |B43/EEP/00W/E32- Consultancy fees focusing on sele|
|0124      |B43/EEP/00W/E33- Consultancy fees for supervision |
|0125      |B43/EEP/00W/E34- Truck transport of equipment to h|
|0126      |B43/EEP/00W/E35- Minor equipment                  |
|0127      |B43/EEP/00W/E36- Fuel for machine tests           |
|0128      |B43/EEP/00W/E37- Travel/DSA for participants/targe|
|0129      |B43/EEP/00W/E38- Local labour for demonstration wo|
|0130      |B43/EEP/00W/E39- Consultancy fees for conducting d|
|0131      |B43/EEP/00W/E40- Travel/DSA costs for participants|
|0132      |B43/EEP/00W/E41- Workshop costs                   |
|0133      |B43/EEP/00W/E42- Workshop material                |
|0134      |B43/EEP/00W/E43- Consultant services on publicatio|
|0135      |B43/EEP/00W/E44- Consultant services on publicatio|
|0136      |B43/EEP/00X/E45- Consultancy fees on report writin|
|0137      |B43/EEP/00X/E46- Translation fees                 |
|0138      |B43/EEP/00X/E47- Consultancy fees for disseminatio|
|0139      |B43/EEP/00X/E48- Contribution to publications of r|
|0140      |B43/EEP/00X/E49- Regional travel costs for consult|
|0141      |B44/GIZ/0AA- Preparation fee                      |
|0142      |B44/GIZ/0AB- Professional service for 5 days      |
|0143      |B44/GIZ/0AC- Accom for 22 persons up to 4 nights  |
|0144      |B44/GIZ/0AD- Other cost: Training fee             |
|0145      |B44/GIZ/0AE- Other cost: Administrative overhead  |
|0146      |B44/GIZ/0AF- Other cost: Breakfast for 4 meals    |
|0147      |B44/GIZ/0AG- Other cost: Lunch for 2 meals        |
|0148      |B44/GIZ/0AH- Other cost: Goodbye lunch for 1 meal |
|0149      |B44/GIZ/0AI- Other cost: Dinner for 4 days        |
|0150      |B44/GIZ/0AJ- Travel expenses (airport transfer)   |
|0151      |B54/WRS/0BO- Return fights                        |
|0152      |B54/WRS/0BP- Workshop logistics (incl venue hire, |
|0153      |B54/WRS/0BQ- DSA (meals and accommodation)        |
|0154      |B54/WRS/0BR- Printing                             |
|0155      |B54/WRS/0BS- Dissemination                        |
|0156      |B55/FTI/0BT- 1.2 Olmotonyi Training of Trainers   |
|0157      |B55/FTI/0BU- 1.7.1 Training curriculum development|
|0158      |B55/FTI/0BV- 1.7.3 Training curriculum field testi|
|0159      |B55/FTI/0BW- 1.8.1 Promotion and communication str|
|0160      |B55/FTI/0BX- 3.1 Institutional CBNA of village lev|
|0161      |B56/ASE/0CH- National Action Research (NAR)       |
|0162      |B56/ASE/0CI- Training for Participants (ToP) - Reg|
|0163      |B56/ASE/0CJ- National Level Training Support (NLTS|
|0164      |B56/ASE/0CK- Support ASFN Secretariat on communica|
|0165      |B56/ASE/0CL- CF Learning Group                    |
|0166      |B56/ASE/0CM- Participation on CF Forum, CF Champio|
|0167      |B56/ASE/0CN- CF National Working Group Support (CF|
|0168      |B56/ASE/0CO- Exchange Program                     |
|0169      |B56/ASE/0CP- Regional SF/CF Best Practise         |
|0170      |B56/ASE/0CQ- Audit                                |
|0171      |B57/CCR/0CS- Personnel costs                      |
|0172      |B57/CCR/0CT- Research costs                       |
|0173      |B57/CCR/0CU- Capacity development costs           |
|0174      |B57/CCR/0CV- Communication costs                  |
|0175      |B57/CCR/0CW- Monitoring and evaluation            |
|0176      |F43/RTG/999- TCP Development                      |
|0177      |F48/RTG/0AR- Strengthening CF Networks and Collabo|
|0178      |F67/RTG/0AS- CF and Climate Change                |
|0179      |F90/RTG/0AT- CF Knowledge Management (Research, go|
|0180      |F93/RTG/0AU- Capacity Building for CF Stakeholders|
|0181      |J31/APF/0BJ- Airfare                              |
|0182      |J31/APF/0BK- Accommodation                        |
|0183      |J31/APF/0BL- DSA and Incidental                   |
|0184      |J31/APF/0BM- Design / Printing English Synthesis R|
|0185      |J31/APF/0BN- Translations, Design & Printing, Lang|
|0186      |M28/NOR/062- Project Coordinator                  |
|0187      |M28/NOR/063- Project Assistant                    |
|0188      |M28/NOR/064- Regional synthesis and communication |
|0189      |M28/NOR/065- Country Implementation Teams         |
|0190      |M28/NOR/066- Country Implementation Team administr|
|0191      |M28/NOR/067- Annual reporting and auditing        |
|0192      |M28/NOR/068- Action Plan preparation (CBNA and its|
|0193      |M28/NOR/069- Core Manual (at regional and country |
|0194      |M28/NOR/070- Training materials and tools         |
|0195      |M28/NOR/071- Case studies and new developments    |
|0196      |M28/NOR/072- Identification of new project areas, |
|0197      |M28/NOR/073- ToT                                  |
|0198      |M28/NOR/074- Training programs for grassroots stak|
|0199      |M28/NOR/075- M&E system                           |
|0200      |M28/NOR/076- Baseline data collection             |
|0201      |M28/NOR/077- Reflection and review workshops (Coun|
|0202      |M28/NOR/078- Mid term and final review            |
|0203      |M28/NOR/079- Coordination                         |
|0204      |M28/NOR/080- Publication and dissemination        |
|0205      |M28/NOR/081- Administrative cost (8% )            |
|0206      |N27/MFF/187- Renovate and refurbish Pred Nai CbLC |
|0207      |N27/MFF/188- Knowledge, experiences, and lessons l|
|0208      |N27/MFF/189- Training and dissemination of Knowled|
|0209      |N27/MFF/190- Establishment of the Pred Nai Mangrov|
|0210      |N27/MFF/191- A Strategic plan to facilitate CbLC a|
|0211      |N27/MFF/192- Communications                       |
|0212      |N27/MFF/193- Monitoring, learning & Evaluation    |
|0213      |N27/MFF/194- Coordination , transport, gasoline an|
|0214      |N27/MFF/195- Project office and facilities        |
|0215      |N27/MFF/196- Staff Costs                          |
|0216      |N27/MFF/197- Overheads (10%)                      |
|0217      |N39/SCC/381- ######### (Honorarium)               |
|0218      |N39/SCC/382- ####### (Researchers)                |
|0219      |N39/SCC/383- ######### (Operating cost)           |
|0220      |N39/SCC/384- ######## (Materials)                 |
|0221      |N39/SCC/385- ############/############ (Administra|
|0222      |N42/LEA/515- Human resource cost / TCP            |
|0223      |N42/LEA/516- Travel costs / TCP                   |
|0224      |N42/LEA/517- Translation / TCP                    |
|0225      |N42/LEA/518- Human resource cost / CBTS           |
|0226      |N42/LEA/519- Workshop costs / CBTS                |
|0227      |N42/LEA/520- RECOFTC Overhead (20%)               |
|0228      |N45/MGI/551- Coordination and organization of regi|
|0229      |N45/MGI/552- Country case studies preparation and |
|0230      |N45/MGI/553- Preparation of case study synthesis a|
|0231      |N45/MGI/554- One regional workshop for policy-make|
|0232      |N45/MGI/555- Development of training material and |
|0233      |N45/MGI/556- Printing and publication of case stud|
|0234      |N45/MGI/00Y- One regional workshop for policy-make|
|0235      |N56/RRS/558- Salary for work performed            |
|0236      |N56/RRS/559- Travel expenses                      |
|0237      |N56/RRS/560- Overhead cost (10%)                  |
|0238      |N56/RRS/561- Annual audit cost (1%)               |
|0239      |N56/RRS/0BZ- Supplementary travel emergency health|
|0240      |N57/RRO/584- International travel                 |
|0241      |N57/RRO/585- Local transportation                 |
|0242      |N57/RRO/586- Accommodation                        |
|0243      |N57/RRO/587- Incidental cost, DSA to participants |
|0244      |N57/RRO/588- Other logistics                      |
|0245      |N57/RRO/589- Administrative cost                  |
|0246      |N57/RRO/590- Audit supplement                     |
|0247      |N58/JIB/00A- Indonesia                            |
|0248      |N58/JIB/00B- Lao PDR                              |
|0249      |N58/JIB/00C- Nepal                                |
|0250      |N58/JIB/00D- Timor Leste                          |
|0251      |N58/JIB/00E- Vietnam                              |
|0252      |N58/JIB/00F- Third regional forum                 |
|0253      |N58/JIB/00G- Report                               |
|0254      |N58/JIB/00H- Administrative cost (15%)            |
|0255      |N59/FLE/00Q/FL1- One day workshop (FLEGT Introduct|
|0256      |N59/FLE/00Q/FL2- One day workshop (FLEGT Recommend|
|0257      |N59/FLE/00Q/FL3- One day workshop (Dialogue platfo|
|0258      |N59/FLE/00Q/FL4- One day workshop (Dialogue platfo|
|0259      |N59/FLE/00Q/FL5- Two days workshop (FLEGT with CSO|
|0260      |N59/FLE/00R/FL6- Senior expert                    |
|0261      |N59/FLE/00R/FL7- Expert                           |
|0262      |N59/FLE/00R/FL8- Coordinator                      |
|0263      |N59/FLE/00O/FL9- Information material             |
|0264      |N66/RRE/0AK- International Level                  |
|0265      |N66/RRE/0AL- Airport Taxi                         |
|0266      |N66/RRE/0AM- Accommodation                        |
|0267      |N66/RRE/0AN- Dinner and Incidentals               |
|0268      |N66/RRE/0AO- Translation Equipment                |
|0269      |N66/RRE/0AP- Administrative Cost (10%)            |
|0270      |N66/RRE/0AQ- Audit Supplement                     |
|0271      |N67/INF/0BA- Staff Time                           |
|0272      |N67/INF/0BB- Printing (Newsletters)               |
|0273      |N67/INF/0BC- Website                              |
|0274      |N67/INF/0BD- Myanmar Statistics Compilation       |
|0275      |N67/INF/0BE- Information Sharing Meeting          |
|0276      |N67/INF/0BF- Task Force Meeting                   |
|0277      |N67/INF/0BG- Overhead (16%)                       |
|0278      |N71/TBC/0BY- Strengthening Local Communitiesand Su|
|0279      |N72/FLG/0CA- Two 1-day training workshops for CSO |
|0280      |N72/FLG/0CB- Five 1-day FLEGT workshops in Sub-reg|
|0281      |N72/FLG/0CC- One national FLEGT stakeholder meetin|
|0282      |N72/FLG/0CD- Senior expert                        |
|0283      |N72/FLG/0CE- Expert                               |
|0284      |N72/FLG/0CF- Coordinator                          |
|0285      |N72/FLG/0CG- Information material                 |
|0286      |N73/COD/0CR- Thailand National Forum 19-21 Mar'14 |
|0287      |N74/HIM/0CX- Community Forestry Women Leaders Capa|
|0288      |N75/RRH/ 0CY- International transportation        |
|0289      |N75/RRH/ 0CZ- Domestic transportation             |
|0290      |N75/RRH/ 0DA- Expert fee                          |
|0291      |N75/RRH/ 0DB- DSA                                 |
|0292      |N75/RRH/ 0DC- Meals for villagers in Kampong Thom |
|0293      |N75/RRH/ 0DD- Dinner                              |
|0294      |N75/RRH/ 0DE- Refreshment                         |
|0295      |N75/RRH/ 0DF- Materials                           |
|0296      |N75/RRH/ 0DG- Miscellaneous                       |
|0297      |N75/RRH/ 0DH- Translation                         |
|0298      |N75/RRH/ 0DI- Administration fee (10%)            |
|0299      |N75/RRH/ 0DJ- Audit fee (1%)                      |
|0300      |B64/ADA/ 0DK- First scoping mission (to visit pilo|
|0301      |B64/ADA/ 0DL- Second scoping mission (to training |
|0302      |B64/ADA/ 0DM- Part-time national consultant       |
|0303      |B64/ADA/ 0DN- Travel & Accommodation cost for cons|
|0304      |B64/ADA/ 0DO- Allocation for seed money support to|
|0305      |B64/ADA/ 0DP- Support for field trip of government|
|0306      |B64/ADA/ 0DQ- Miscellaneous to cover additional ex|
|0307      |B64/ADA/ 0DR- Administrative cost (10%)           |
|0308      |B06/FSC/0BH- FSC workshop Bangkok - Nov'13        |
|0309      |B06/FSC/0BI- Additional staff time                |
|0310      |B65/FSG/0DS- New modules                          |
|0311      |B65/FSG/0DT- Modification existing modules        |
|0312      |B65/FSG/0DU- Regional training delivery           |
|0313      |B65/FSG/0DV- Training facilities                  |
|0314      |B65/FSG/0DW- Reporting / monitoring               |
|0315      |B65/FSG/0DX- Participants regional training       |
|0316      |B65/FSG/0DY- Administrative fee (15%)             |
|0317      |B65/FSG/0DZ- Bank charges                         |
|0318      |B66/ASS/0EA- 1.1 Head                             |
|0319      |B66/ASS/0EB- 1.2 Information and Knowledge Managem|
|0320      |B66/ASS/0EC- 1.3 Operations Officer (Travel Coordi|
|0321      |B66/ASS/0ED- 1.4 Car Rental & Drive Lumpsum (inclu|
|0322      |B66/ASS/0EE- 2.1 Internet Connection Subscription |
|0323      |B66/ASS/0EF- 2.2 Gasoline, Highway Toll & Parking |
|0324      |B66/ASS/0EG- 2.3 Office Maintenance               |
|0325      |B66/ASS/0EH- 2.4 Water, Ink, Paper, Routine Statio|
|0326      |B66/ASS/0EI- 3 AMAF support work incl. Consultanci|
|0327      |B66/ASS/0EJ- 4.1 Participation Costs of ASFN Focal|
|0328      |B66/ASS/0EK- 4.2 Participation Costs of Invited Sp|
|0329      |B66/ASS/0EL- 4.3 Participation Costs of CSOs Repre|
|0330      |B66/ASS/0EM- 4.4 Support for Conference/Meetings/F|
|0331      |B66/ASS/0EN- 4.5 Support for AFCC Meetings        |
|0332      |B66/ASS/0EO- 4.6 Participation Costs of ASFN Secre|
|0333      |B66/ASS/0EP- 5.1 Cost for ASFN Online & Desktop Su|
|0334      |B66/ASS/0EQ- 5.2 Cost for Organizing Webinar      |
|0335      |B66/ASS/0ER- 5.3 Cost for Organizing Knowledge Roa|
|0336      |B66/ASS/0ES- 5.4 Cost for Organizing & Shipping Kn|
|0337      |B66/ASS/0ET- 5.5 Cost for Reproducing Knowledge Pr|
|0338      |B66/ASS/0EU- 6.1 Cost for Promoting Learning Site |
|0339      |B66/ASS/0EV- 6.2 Cost for Developing Thematic Poli|
|0340      |B66/ASS/0EW- 6.3 Cost for Promoting SF Field Schoo|
|0341      |B66/ASS/0EX- 6.4 Strengthening SF Implementation (|
|0342      |B66/ASS/0EY- 6.5 Cost for Policy Dialogue on Thema|
|0343      |B66/ASS/0EZ- 7 RECOFTC Financial office/task      |
|0344      |B66/ASS/0FA- 8 SAP license fee and Currency variat|
|0345      |B66/ASS/0FB- 9 Auditing Costs                     |
|0346      |N78/EUC/0FC- 1.1.1.1 TC  (RECOFTC) 1 person       |
|0347      |N78/EUC/0FD- 1.1.1.2 CFPC  (RECOFTC and OGB) - REC|
|0348      |N78/EUC/0FE- 1.1.1.2 CFPC  (RECOFTC and OGB) - OGB|
|0349      |N78/EUC/0FF- 1.1.1.3 PCFPCs (RECOFTC) x 7 per- REC|
|0350      |N78/EUC/0FG- 1.1.1.4 PCFPAs (RECOFTC x 2 Oxfam- RE|
|0351      |N78/EUC/0FH- 1.1.1.4 PCFPAs (RECOFTC x 2 Oxfam- OG|
|0352      |N78/EUC/0FI- 1.1.2.1 AAO (RECOFTC) 1 person       |
|0353      |N78/EUC/0FJ- 1.1.2.2 AAAO (RECOFTC and OGB)- RECOF|
|0354      |N78/EUC/0FK- 1.1.2.2 AAAO (RECOFTC and OGB)- OGB  |
|0355      |N78/EUC/0FL- 1.2.1 PM (RECOFTC CPC) 1 person      |
|0356      |N78/EUC/0FM- 1.2.2 CFMPC (RECOFTC) 1 person       |
|0357      |N78/EUC/0FN- 1.2.3 Local staff NGO salary- RAT    |
|0358      |N78/EUC/0FN- 1.2.3 Local staff NGO salary- STT    |
|0359      |N78/EUC/0FN- 1.2.3 Local staff NGO salary- KRT    |
|0360      |N78/EUC/0FN- 1.2.3 Local staff NGO salary- KTM    |
|0361      |N78/EUC/0FN- 1.2.3 Local staff NGO salary- PVR/PVH|
|0362      |N78/EUC/0FN- 1.2.3 Local staff NGO salary- PUS    |
|0363      |N78/EUC/0FN- 1.2.3 Local staff NGO salary- KAM    |
|0364      |N78/EUC/0FN- 1.2.3 Local staff NGO salary- OGB-STT|
|0365      |N78/EUC/0FN- 1.2.3 Local staff NGO salary- OGB-KRT|
|0366      |N78/EUC/0FN- 1.2.3 Local staff NGO salary- OGB-KTM|
|0367      |N78/EUC/0FN- 1.2.3 Local staff NGO salary- OGB-PVR|
|0368      |N78/EUC/0FY- 1.2.4 Local staff/ DSA for FA- RAT   |
|0369      |N78/EUC/0FY- 1.2.4 Local staff/ DSA for FA- STT   |
|0370      |N78/EUC/0FY- 1.2.4 Local staff/ DSA for FA- KRT   |
|0371      |N78/EUC/0FY- 1.2.4 Local staff/ DSA for FA- KTM   |
|0372      |N78/EUC/0FY- 1.2.4 Local staff/ DSA for FA-PVR/PVH|
|0373      |N78/EUC/0FY- 1.2.4 Local staff/ DSA for FA- PUS   |
|0374      |N78/EUC/0FY- 1.2.4 Local staff/ DSA for FA- KAM   |
|0375      |N78/EUC/0GF- 1.3.1 Abroad (staff assigned to the A|
|0376      |N78/EUC/0GG- 1.3.2.1 Local staff/ DSA, Acc and-RAT|
|0377      |N78/EUC/0GG- 1.3.2.1 Local staff/ DSA, Acc and-STT|
|0378      |N78/EUC/0GG- 1.3.2.1 Local staff/ DSA, Acc and-KRT|
|0379      |N78/EUC/0GG- 1.3.2.1 Local staff/ DSA, Acc and-KTM|
|0380      |N78/EUC/0GG- 1.3.2.1 Local staff/ DSA, Acc and-PVR|
|0381      |N78/EUC/0GG- 1.3.2.1 Local staff/ DSA, Acc and-PUS|
|0382      |N78/EUC/0GG- 1.3.2.1 Local staff/ DSA, Acc and-KAM|
|0383      |N78/EUC/0GG- 1.3.2.1 Local staff/ DSA, Acc and-OGB|
|0384      |N78/EUC/0GO-1.3.2.2 Local (staff assigned to the A|
|0385      |N78/EUC/0GP-1.3.2.3 Local (staff assigned to the A|
|0386      |N78/EUC/0GQ- 1.3.2.4 Local staff/ DSA&Acc -OGB-STT|
|0387      |N78/EUC/0GQ- 1.3.2.4 Local staff/ DSA&Acc -OGB-KRT|
|0388      |N78/EUC/0GQ- 1.3.2.4 Local staff/ DSA&Acc -OGB-KTM|
|0389      |N78/EUC/0GQ- 1.3.2.4 Local staff/ DSA&Acc -OGB-PVR|
|0390      |N78/EUC/0GU- 1.3.2.6 CF network (CFMC)- RAT       |
|0391      |N78/EUC/0GV- 1.3.2.6 CF network (CFMC)- PUS       |
|0392      |N78/EUC/0GV- 1.3.2.6 CF network (CFMC)- KAM       |
|0393      |N78/EUC/0GV- 1.3.2.6 CF network (CFMC)- OGB-STT   |
|0394      |N78/EUC/0GV- 1.3.2.6 CF network (CFMC)- OGB-KRT   |
|0395      |N78/EUC/0GV- 1.3.2.6 CF network (CFMC)- OGB-KTM   |
|0396      |N78/EUC/0GV- 1.3.2.6 CF network (CFMC)-OGB-PVR/PVH|
|0397      |N78/EUC/0HB- 1.3.3 Seminar/conference participants|
|0398      |N78/EUC/0HC- 2.1 International travel (Thailand)  |
|0399      |N78/EUC/0HD- 2.2.1 Travel for quarterly meeting   |
|0400      |N78/EUC/0HE- 2.2.2 Travel for PP staff to support |
|0401      |N78/EUC/0HF- 2.2.3 Travel for Local meeting at RAT|
|0402      |N78/EUC/0HF- 2.2.3 Travel for Local meeting at PUS|
|0403      |N78/EUC/0HF- 2.2.3 Travel for Local meeting at KAM|
|0404      |N78/EUC/0HF- 2.2.3 Travel for Local meetingOGB-STT|
|0405      |N78/EUC/0HF- 2.2.3 Travel for Local meetingOGB-KRT|
|0406      |N78/EUC/0HF- 2.2.3 Travel for Local meetingOGB-KTM|
|0407      |N78/EUC/0HF- 2.2.3 Travel for Local meetingOGB-PVR|
|0408      |N78/EUC/0HM- 2.3.4 CF network (CFMC)/ RAT         |
|0409      |N78/EUC/0HM- 2.3.4 CF network (CFMC)/ PUS         |
|0410      |N78/EUC/0HM- 2.3.4 CF network (CFMC)/ KAM         |
|0411      |N78/EUC/0HM- 2.3.4 CF network (CFMC)/ OGB-STT     |
|0412      |N78/EUC/0HM- 2.3.4 CF network (CFMC)/ OGB-KRT     |
|0413      |N78/EUC/0HM- 2.3.4 CF network (CFMC)/ OGB-KTM     |
|0414      |N78/EUC/0HM- 2.3.4 CF network (CFMC)/ OGB-PVR/PVH |
|0415      |N78/EUC/0HT- 3.1.1 Motorbike                      |
|0416      |N78/EUC/0HU- 3.2.1 Computer (laptop)              |
|0417      |N78/EUC/0HV- 3.2.2 Printer (black and white)      |
|0418      |N78/EUC/0HW- 3.2.3 Printer (color)                |
|0419      |N78/EUC/0HX- 3.2.4 Desk                           |
|0420      |N78/EUC/0HY- 3.2.5 Meeting table                  |
|0421      |N78/EUC/0HZ- 3.2.6 Swivel chair                   |
|0422      |N78/EUC/0IA- 3.2.7 Meeting chair                  |
|0423      |N78/EUC/0IB- 3.2.8 Cabinet                        |
|0424      |N78/EUC/0IC- 3.2.9 CFMP equipment + material      |
|0425      |N78/EUC/0ID- 3.3.1 Camera                         |
|0426      |N78/EUC/0IE- 3.3.2 GPS                            |
|0427      |N78/EUC/0IF- 3.5.1 CF legalisation- RAT           |
|0428      |N78/EUC/0IG- 3.5.1 CF legalisation- STT           |
|0429      |N78/EUC/0IH- 3.5.1 CF legalisation- KRT           |
|0430      |N78/EUC/0II- 3.5.1 CF legalisation- KTM           |
|0431      |N78/EUC/0IJ- 3.5.1 CF legalisation- PVR / PVH     |
|0432      |N78/EUC/0IK- 3.5.1 CF legalisation- PUS           |
|0433      |N78/EUC/0IL- 3.5.1 CF legalisation- KAM           |
|0434      |N78/EUC/0IM- 3.5.1 CF legalisation- OGB-STT       |
|0435      |N78/EUC/0IN- 3.5.1 CF legalisation- OGB-KRT       |
|0436      |N78/EUC/0IO- 3.5.1 CF legalisation- OGB-KTM       |
|0437      |N78/EUC/0IP- 3.5.1 CF legalisation- OGB-PVR / PVH |
|0438      |N78/EUC/0IQ- 3.5.2 CF inventory for CFMP - RAT    |
|0439      |N78/EUC/0IR- 3.5.2 CF inventory for CFMP - STT    |
